Model,Variant,Accuracy,F1,MCC
LogisticRegression,bez PCA,0.740462789243277,0.7557386698057681,0.4789578805083757
RandomForest,bez PCA,0.8055034396497811,0.8188701223063483,0.6089080058725762
SVM,bez PCA,0.7654784240150094,0.776918500892326,0.5302256646169144
LogisticRegression,PCA (9),0.7398373983739838,0.7550058892815077,0.4777563118993935
RandomForest,PCA (9),0.815509693558474,0.8277875072971396,0.6291400952968921
SVM,PCA (9),0.7636022514071295,0.7752675386444708,0.5263973525908465
